No.,Label,x(km),Average,Minimum,Maximum
0,                         ,69.36,26.43,24.18,28.58
0,                         ,69.10,26.45,24.15,28.66
0,                         ,68.85,26.46,24.13,28.74
0,                         ,68.60,26.47,24.06,28.89
0,                         ,68.35,26.50,24.01,29.05
0,                         ,68.10,26.53,23.96,29.22
0,                         ,67.86,26.56,23.91,29.38
0,                         ,67.61,26.58,23.85,29.53
0,                         ,67.36,26.61,23.80,29.69
0,                         ,67.12,26.63,23.74,29.83
0,                         ,66.87,26.66,23.69,29.97
0,                         ,66.62,26.68,23.64,30.11
0,                         ,66.38,26.70,23.59,30.23
0,                         ,66.13,26.72,23.55,30.35
0,                         ,65.89,26.75,23.51,30.47
0,                         ,65.64,26.77,23.47,30.57
0,                         ,65.39,26.79,23.43,30.67
0,                         ,65.15,26.81,23.39,30.76
0,                         ,64.90,26.83,23.36,30.84
0,                         ,64.65,26.85,23.32,30.92
0,                         ,64.41,26.87,23.29,30.98
0,                         ,64.16,26.88,23.26,31.04
0,                         ,63.91,26.90,23.23,31.10
0,                         ,63.67,26.92,23.20,31.15
0,                         ,63.42,26.94,23.17,31.19
0,                         ,63.17,26.96,23.15,31.23
0,                         ,62.93,26.98,23.12,31.26
0,                         ,62.68,26.99,23.10,31.29
0,                         ,62.44,27.01,23.07,31.32
0,                         ,62.19,27.03,23.05,31.34
0,                         ,61.94,27.04,23.03,31.36
0,                         ,61.70,27.06,23.01,31.38
0,                         ,61.45,27.08,22.99,31.39
0,                         ,61.20,27.09,22.97,31.40
0,                         ,60.96,27.11,22.96,31.41
0,                         ,60.74,27.11,23.01,31.33
0,                         ,60.54,27.12,23.09,31.23
0,  Yorkville impoundment  ,60.32,27.13,23.14,31.18
0,  Yorkville impoundment  ,60.07,27.14,23.20,31.11
0,  Yorkville impoundment  ,59.82,27.14,23.28,31.04
0,  Yorkville impoundment  ,59.57,27.15,23.37,30.95
0,  Yorkville impoundment  ,59.32,27.16,23.47,30.87
0,  Yorkville impoundment  ,59.06,27.17,23.57,30.78
0,  Yorkville impoundment  ,58.81,27.18,23.68,30.71
0,  Yorkville impoundment  ,58.56,27.19,23.81,30.62
0,  Yorkville impoundment  ,58.31,27.20,23.93,30.54
0,Yorkville dam            ,58.11,27.25,24.76,29.88
0,                         ,57.91,27.26,25.00,29.76
0,                         ,57.66,27.27,25.23,29.63
0,                         ,57.42,27.18,25.37,29.37
0,                         ,57.17,27.14,25.59,29.08
0,                         ,56.93,27.16,25.79,28.89
0,                         ,56.68,27.18,25.91,28.71
0,                         ,56.44,27.19,25.96,28.52
0,                         ,56.20,27.21,25.98,28.34
0,                         ,55.95,27.22,25.97,28.15
0,                         ,55.71,27.23,25.95,28.08
0,                         ,55.47,27.24,25.91,28.35
0,                         ,55.22,27.25,25.87,28.60
0,                         ,54.98,27.26,25.83,28.85
0,                         ,54.74,27.27,25.78,29.08
0,                         ,54.49,27.27,25.71,29.30
0,                         ,54.25,27.27,25.64,29.50
0,                         ,54.01,27.28,25.56,29.70
0,                         ,53.76,27.29,25.46,29.88
0,                         ,53.52,27.29,25.36,30.05
0,                         ,53.27,27.31,25.26,30.22
0,                         ,53.02,27.32,25.17,30.38
0,                         ,52.77,27.34,25.08,30.53
0,                         ,52.52,27.35,24.98,30.66
0,                         ,52.26,27.37,24.86,30.78
